x1,y1,x2,y2,confidence,class_id,class_name
404.49,289.32,596.46,366.44,1.00,0,bicycle
431.46,174.98,599.25,242.90,1.00,0,bicycle
411.99,35.16,581.27,166.99,1.00,0,bicycle
421.64,0.00,564.81,90.65,1.00,0,bicycle
66.55,107.70,218.13,202.15,1.00,0,bicycle
34.83,193.12,209.14,290.84,1.00,0,bicycle
31.10,284.44,206.49,329.95,1.00,0,bicycle
27.33,456.00,197.16,547.22,1.00,0,bicycle
35.45,404.48,228.26,468.74,1.00,0,bicycle
404.80,550.54,572.83,639.20,1.00,0,bicycle
49.47,337.41,245.68,406.85,1.00,0,bicycle
495.48,298.95,530.59,338.57,1.00,1,saddle
518.44,176.49,547.70,203.50,1.00,1,saddle
485.57,36.62,512.14,61.23,1.00,1,saddle
85.99,522.26,122.46,557.68,1.00,1,saddle
95.45,478.44,127.86,505.45,1.00,1,saddle
77.44,410.01,112.56,449.03,1.00,1,saddle
129.22,362.58,162.53,399.20,1.00,1,saddle
79.69,287.54,109.40,321.16,1.00,1,saddle
75.19,193.90,105.80,228.71,1.00,1,saddle
108.05,123.66,139.12,158.48,1.00,1,saddle
474.01,618.43,503.37,640.00,1.00,1,saddle
