x1,y1,x2,y2,confidence,class_id,class_name
16.91,131.04,42.27,177.54,1.00,1,saddle
134.85,110.75,169.09,163.17,1.00,1,saddle
185.57,158.94,216.01,206.29,1.00,1,saddle
254.69,101.45,288.93,153.02,1.00,1,saddle
283.22,168.24,315.56,225.73,1.00,1,saddle
330.78,235.88,365.02,287.45,1.00,1,saddle
372.63,182.62,413.84,240.11,1.00,1,saddle
454.66,112.68,484.51,162.44,1.00,1,saddle
543.20,125.97,572.36,173.32,1.00,1,saddle
52.42,36.39,120.66,259.46,1.00,0,bicycle
157.67,15.22,214.74,251.94,1.00,0,bicycle
193.18,46.50,268.64,290.83,1.00,0,bicycle
257.23,6.76,299.08,262.09,1.00,0,bicycle
278.78,55.80,339.02,300.13,1.00,0,bicycle
334.58,92.15,370.09,361.85,1.00,0,bicycle
363.75,62.56,410.04,321.27,1.00,0,bicycle
423.99,5.07,475.98,255.32,1.00,0,bicycle
471.55,15.22,543.20,271.39,1.00,0,bicycle
568.47,177.36,588.38,225.46,1.00,1,saddle
586.51,142.53,607.04,185.66,1.00,1,saddle
509.39,85.31,564.12,290.98,1.00,0,bicycle
