x1,y1,x2,y2,confidence,class_id,class_name
0.00,148.80,24.52,173.32,1.00,1,saddle
10.57,333.27,35.45,364.78,1.00,1,saddle
41.05,466.78,68.42,497.47,1.00,1,saddle
46.08,547.22,86.02,575.75,1.00,1,saddle
434.75,272.73,468.96,311.71,1.00,1,saddle
447.45,345.79,485.13,379.71,1.00,1,saddle
472.81,421.03,509.39,457.66,1.00,1,saddle
476.62,525.66,514.36,560.49,1.00,1,saddle
401.16,168.24,429.78,193.95,1.00,1,saddle
278.15,202.91,411.31,310.28,1.00,0,bicycle
370.07,144.19,508.14,263.61,1.00,0,bicycle
372.63,237.07,541.11,322.96,1.00,0,bicycle
396.19,284.34,538.62,396.29,1.00,0,bicycle
407.39,376.39,573.45,454.34,1.00,0,bicycle
439.21,432.78,597.08,564.76,1.00,0,bicycle
30.22,531.78,172.89,631.55,1.00,0,bicycle
3.59,492.05,157.68,576.59,1.00,0,bicycle
0.00,421.03,157.04,506.42,1.00,0,bicycle
0.00,306.05,122.80,380.45,1.00,0,bicycle
0.00,188.53,129.14,252.79,1.00,0,bicycle
0.00,101.45,128.51,160.63,1.00,0,bicycle
316.20,0.00,435.40,142.88,1.00,0,bicycle
312.85,246.19,339.59,271.90,1.00,1,saddle
20.53,82.00,36.70,102.73,1.00,1,saddle
0.00,156.63,103.25,203.07,1.00,0,bicycle
0.00,260.29,138.08,314.20,1.00,0,bicycle
14.31,271.90,41.05,304.24,1.00,1,saddle
8.09,363.95,149.89,417.03,1.00,0,bicycle
