x1,y1,x2,y2,confidence,class_id,class_name
350.65,128.15,409.32,253.99,1.00,0,bicycle
544.65,168.30,602.52,255.53,1.00,0,bicycle
155.33,152.86,202.42,258.62,1.00,0,bicycle
78.90,155.95,149.93,264.80,1.00,0,bicycle
0.00,180.65,54.97,264.80,1.00,0,bicycle
101.51,360.75,147.61,467.84,1.00,0,bicycle
13.96,348.68,62.26,438.49,1.00,0,bicycle
596.41,179.69,607.19,194.43,1.00,1,saddle
388.32,181.13,403.05,201.62,1.00,1,saddle
152.56,186.16,165.86,206.29,1.00,1,saddle
104.40,166.40,118.06,179.69,1.00,1,saddle
